time,line,gt,0.02,0.10,0.25,0.5,0.75,0.90,0.98
-96,"A, 31",14.383410453796388,14.097434997558594,14.172558784484863,14.206709861755373,14.240272521972656,14.303265571594238,14.350397109985352,14.511784553527832
-95,"A, 31",14.366828918457031,14.135247230529783,14.215656280517578,14.245691299438477,14.295403480529783,14.395020484924316,14.437811851501465,14.582659721374512
-94,"A, 31",14.291573524475098,14.083662986755373,14.170878410339355,14.21111297607422,14.258954048156738,14.329973220825195,14.38272476196289,14.55398178100586
-93,"A, 31",14.360345840454102,14.106526374816896,14.192448616027832,14.228574752807615,14.289915084838867,14.37985134124756,14.422584533691406,14.55117416381836
-92,"A, 31",14.19809913635254,14.023101806640623,14.118603706359863,14.170331001281738,14.225345611572266,14.296555519104004,14.348297119140623,14.487234115600586
-91,"A, 31",14.568044662475586,14.033286094665527,14.12672996520996,14.17368221282959,14.229719161987305,14.310158729553224,14.34553337097168,14.448003768920898
-90,"A, 31",13.982131958007812,13.986530303955078,14.084131240844728,14.139384269714355,14.185314178466797,14.246395111083984,14.285757064819336,14.387931823730469
-89,"A, 31",13.930858612060549,14.02141284942627,14.11756992340088,14.165700912475586,14.214905738830566,14.290363311767578,14.314820289611816,14.39760684967041
-88,"A, 31",14.281747817993164,14.00207233428955,14.098344802856444,14.151264190673828,14.191450119018556,14.247175216674805,14.27724552154541,14.359922409057615
-87,"A, 31",14.372159957885742,14.087690353393556,14.175798416137695,14.216106414794922,14.267868995666504,14.347002029418944,14.374311447143556,14.45294952392578
-86,"A, 31",14.37524127960205,14.040178298950195,14.136812210083008,14.184944152832031,14.225424766540527,14.285954475402832,14.313358306884766,14.392922401428224
-85,"A, 31",14.38583755493164,14.197524070739746,14.27406883239746,14.30095100402832,14.351432800292969,14.41196346282959,14.458574295043944,14.54160976409912
-84,"A, 31",14.37998104095459,14.111740112304688,14.205753326416016,14.241475105285645,14.285120010375977,14.339786529541016,14.376219749450684,14.461712837219238
-83,"A, 31",14.424324989318848,14.257391929626465,14.331629753112791,14.35101318359375,14.392882347106934,14.429572105407717,14.484979629516602,14.569109916687012
-82,"A, 31",14.244803428649902,14.17611026763916,14.257051467895508,14.278196334838867,14.312861442565918,14.346574783325195,14.390361785888672,14.482863426208496
-81,"A, 31",14.464130401611328,14.276602745056152,14.351855278015137,14.370238304138184,14.405921936035156,14.43084716796875,14.490925788879396,14.613749504089355
-80,"A, 31",14.625743865966797,14.326712608337402,14.430635452270508,14.49113655090332,14.535162925720217,14.583797454833984,14.663568496704102,14.890464782714844
-79,"A, 31",14.738757133483888,14.463631629943848,14.584732055664062,14.643136978149414,14.708175659179688,14.768345832824709,14.877522468566896,15.101594924926758
-78,"A, 31",14.806815147399902,14.42345142364502,14.5528564453125,14.62342357635498,14.701151847839355,14.775398254394531,14.886377334594728,15.160852432250977
-77,"A, 31",14.681638717651367,14.397326469421388,14.532547950744627,14.566295623779297,14.64418601989746,14.716567039489746,14.843131065368652,15.149048805236816
-76,"A, 31",14.826248168945312,14.72868537902832,14.907495498657228,14.938972473144531,15.012258529663086,15.091673851013184,15.23829460144043,15.57201099395752
-75,"A, 31",15.33572006225586,14.965746879577637,15.148199081420898,15.212608337402344,15.3206148147583,15.420543670654297,15.571451187133787,15.88463020324707
-74,"A, 31",15.365352630615234,14.995266914367676,15.160964965820312,15.200429916381836,15.302579879760742,15.392168998718262,15.53676986694336,15.852089881896973
-73,"A, 31",15.352933883666992,14.96306324005127,15.102058410644531,15.149373054504396,15.245315551757812,15.339308738708496,15.451899528503418,15.73294162750244
-72,"A, 31",15.234951972961426,14.89138126373291,15.025378227233888,15.056045532226562,15.12887477874756,15.209409713745115,15.30558967590332,15.586520195007324
-71,"A, 31",15.111740112304688,14.875511169433594,14.993637084960938,15.043797492980955,15.11464786529541,15.178304672241213,15.239657402038574,15.486437797546388
-70,"A, 31",15.004742622375488,14.83559226989746,14.940230369567873,14.991024017333984,15.055819511413574,15.097421646118164,15.139748573303224,15.368643760681152
