time,in,out,customer,line
2023-01-14 22:00:00,704.61,284.86,A,65
2023-01-14 22:30:00,704.22,284.88,A,65
2023-01-14 23:00:00,704.19,284.71,A,65
2023-01-14 23:30:00,704.68,284.9,A,65
2023-01-15 00:00:00,703.8,284.81,A,65
2023-01-15 00:30:00,703.66,284.79,A,65
2023-01-15 01:00:00,704.28,284.92,A,65
2023-01-15 01:30:00,701.31,282.15,A,65
2023-01-15 02:00:00,706.17,285.2,A,65
2023-01-15 02:30:00,704.08,283.74,A,65
2023-01-15 03:00:00,700.57,281.12,A,65
2023-01-15 03:30:00,703.91,284.9,A,65
2023-01-15 04:00:00,704.23,284.82,A,65
2023-01-15 04:30:00,704.95,284.86,A,65
2023-01-15 05:00:00,704.74,284.86,A,65
2023-01-15 05:30:00,703.57,284.79,A,65
2023-01-15 06:00:00,704.37,284.91,A,65
2023-01-15 06:30:00,704.99,284.79,A,65
2023-01-15 07:00:00,704.62,285.06,A,65
2023-01-15 07:30:00,706.0,284.67,A,65
2023-01-15 08:00:00,706.68,284.86,A,65
2023-01-15 08:30:00,64197.37,284.84,A,65
2023-01-15 09:00:00,6202891.01,284.79,A,65
2023-01-15 09:30:00,10100549.18,287.22,A,65
2023-01-15 10:00:00,10229597.62,286.99,A,65
2023-01-15 10:30:00,5472584.98,479.3,A,65
2023-01-15 11:00:00,14256.65,123829.0,A,65
2023-01-15 11:30:00,1573438.23,195612.8,A,65
2023-01-15 12:00:00,9255751.54,462490.16,A,65
2023-01-15 12:30:00,10284945.37,498399.13,A,65
2023-01-15 13:00:00,10274335.82,530927.66,A,65
2023-01-15 13:30:00,9668698.36,543851.02,A,65
2023-01-15 14:00:00,2207360.36,107019.13,A,65
2023-01-15 14:30:00,19930.05,220.32,A,65
2023-01-15 15:00:00,13350.84,163.87,A,65
2023-01-15 15:30:00,1052544.78,46850.86,A,65
2023-01-15 16:00:00,8721868.09,356780.08,A,65
2023-01-15 16:30:00,10265566.27,417748.97,A,65
2023-01-15 17:00:00,10133084.99,418598.69,A,65
2023-01-15 17:30:00,10226770.61,613163.16,A,65
2023-01-15 18:00:00,10259436.34,456485.94,A,65
2023-01-15 18:30:00,10279563.28,418602.15,A,65
2023-01-15 19:00:00,7078158.63,289317.05,A,65
2023-01-15 19:30:00,229315.84,12731.03,A,65
2023-01-15 20:00:00,761.83,3520.86,A,65
2023-01-15 20:30:00,759.16,3503.54,A,65
2023-01-15 21:00:00,760.19,3517.66,A,65
2023-01-15 21:30:00,758.6,3503.12,A,65
2023-01-15 22:00:00,759.85,3517.3,A,65
2023-01-15 22:30:00,755.76,3500.1,A,65
2023-01-15 23:00:00,761.03,3518.57,A,65
2023-01-15 23:30:00,760.79,3505.29,A,65
2023-01-16 00:00:00,760.94,3518.45,A,65
2023-01-16 00:30:00,759.78,3504.24,A,65
2023-01-16 01:00:00,761.09,3518.45,A,65
2023-01-16 01:30:00,760.27,3504.91,A,65
2023-01-16 02:00:00,763.42,3520.61,A,65
2023-01-16 02:30:00,756.07,3500.42,A,65
2023-01-16 03:00:00,758.64,3516.12,A,65
2023-01-16 03:30:00,758.61,3503.1,A,65
2023-01-16 04:00:00,760.29,3517.82,A,65
2023-01-16 04:30:00,758.31,3502.82,A,65
2023-01-16 05:00:00,759.89,3517.2,A,65
2023-01-16 05:30:00,759.83,3504.34,A,65
2023-01-16 06:00:00,761.29,3518.79,A,65
2023-01-16 06:30:00,758.42,3502.84,A,65
2023-01-16 07:00:00,759.88,3517.31,A,65
2023-01-16 07:30:00,759.57,3504.09,A,65
2023-01-16 08:00:00,761.53,3519.02,A,65
2023-01-16 08:30:00,773.98,3522.97,A,65
2023-01-16 09:00:00,2471.85,31515.34,A,65
2023-01-16 09:30:00,15547.73,212495.6,A,65
2023-01-16 10:00:00,17429.02,227747.05,A,65
2023-01-16 10:30:00,19338.93,258823.5,A,65
2023-01-16 11:00:00,12041.57,160565.12,A,65
2023-01-16 11:30:00,11502.05,158461.97,A,65
2023-01-16 12:00:00,4987.96,87990.33,A,65
2023-01-16 12:30:00,822.33,3598.3,A,65
2023-01-16 13:00:00,1040.31,11001.11,A,65
2023-01-16 13:30:00,8473.65,126955.79,A,65
2023-01-16 14:00:00,20317.54,249407.34,A,65
2023-01-16 14:30:00,23745.81,281483.98,A,65
2023-01-16 15:00:00,23765.98,173577.06,A,65
2023-01-16 15:30:00,23489.53,93850.6,A,65
2023-01-16 16:00:00,21751.81,71351.79,A,65
2023-01-16 16:30:00,6594.52,48652.88,A,65
2023-01-16 17:00:00,1351.41,8092.71,A,65
2023-01-16 17:30:00,1243.82,8399.2,A,65
2023-01-16 18:00:00,843.55,3808.26,A,65
2023-01-16 18:30:00,787.73,3574.01,A,65
2023-01-16 19:00:00,777.56,3540.02,A,65
2023-01-16 19:30:00,773.2,3522.72,A,65
2023-01-16 20:00:00,775.98,3538.43,A,65
2023-01-16 20:30:00,773.0,3522.46,A,65
2023-01-16 21:00:00,773.58,3535.95,A,65
2023-01-16 21:30:00,769.5,3518.93,A,65
2023-01-16 22:00:00,774.26,3536.73,A,65
2023-01-16 22:30:00,772.62,3522.1,A,65
2023-01-16 23:00:00,774.07,3536.4,A,65
2023-01-16 23:30:00,772.76,3522.26,A,65
2023-01-17 00:00:00,774.13,3536.62,A,65
2023-01-17 00:30:00,772.71,3522.18,A,65
2023-01-17 01:00:00,774.12,3536.55,A,65
2023-01-17 01:30:00,772.52,3521.88,A,65
2023-01-17 02:00:00,781.08,3543.71,A,65
2023-01-17 02:30:00,775.47,3524.79,A,65
2023-01-17 03:00:00,773.99,3536.31,A,65
2023-01-17 03:30:00,770.12,3519.54,A,65
2023-01-17 04:00:00,774.24,3536.73,A,65
2023-01-17 04:30:00,772.66,3522.12,A,65
2023-01-17 05:00:00,774.11,3536.55,A,65
2023-01-17 05:30:00,772.47,3521.81,A,65
2023-01-17 06:00:00,774.19,3536.7,A,65
2023-01-17 06:30:00,778.25,3527.59,A,65
2023-01-17 07:00:00,775.66,3537.93,A,65
2023-01-17 07:30:00,773.76,3523.26,A,65
2023-01-17 08:00:00,774.3,3536.79,A,65
2023-01-17 08:30:00,772.9,3522.73,A,65
2023-01-17 09:00:00,774.81,3538.38,A,65
2023-01-17 09:30:00,772.58,3522.08,A,65
2023-01-17 10:00:00,770.44,3532.88,A,65
2023-01-17 10:30:00,761.02,3508.49,A,65
2023-01-17 11:00:00,989.3,9125.63,A,65
2023-01-17 11:30:00,827.51,4890.73,A,65
2023-01-17 12:00:00,773.7,3522.61,A,65
2023-01-17 12:30:00,769.65,3518.92,A,65
2023-01-17 13:00:00,774.92,3537.41,A,65
2023-01-17 13:30:00,767.39,3516.85,A,65
2023-01-17 14:00:00,774.23,3536.68,A,65
2023-01-17 14:30:00,773.38,3522.72,A,65
2023-01-17 15:00:00,775.17,3537.68,A,65
2023-01-17 15:30:00,773.28,3522.75,A,65
2023-01-17 16:00:00,774.73,3537.17,A,65
2023-01-17 16:30:00,772.92,3522.26,A,65
2023-01-17 17:00:00,776.44,3538.9,A,65
2023-01-17 17:30:00,774.19,3522.95,A,65
2023-01-17 18:00:00,774.21,3536.67,A,65
2023-01-17 18:30:00,766.35,3513.93,A,65
2023-01-17 19:00:00,760.01,3519.62,A,65
2023-01-17 19:30:00,758.59,3505.25,A,65
