time,in,out,customer,line
2023-06-03 07:30:00,279.11,284.9,A,65
2023-06-03 08:00:00,278.5,284.38,A,65
2023-06-03 08:30:00,276.62,282.45,A,65
2023-06-03 09:00:00,272.66,278.33,A,65
2023-06-03 09:30:00,274.29,279.87,A,65
2023-06-03 10:00:00,279.17,285.01,A,65
2023-06-03 10:30:00,275.72,281.42,A,65
2023-06-03 11:00:00,275.28,280.98,A,65
2023-06-03 11:30:00,279.16,284.99,A,65
2023-06-03 12:00:00,278.95,284.65,A,65
2023-06-03 12:30:00,279.13,284.91,A,65
2023-06-03 13:00:00,279.08,284.81,A,65
2023-06-03 13:30:00,278.16,283.86,A,65
2023-06-03 14:00:00,276.37,282.1,A,65
2023-06-03 14:30:00,271.86,277.63,A,65
2023-06-03 15:00:00,275.59,281.29,A,65
2023-06-03 15:30:00,279.11,284.91,A,65
2023-06-03 16:00:00,279.12,284.84,A,65
2023-06-03 16:30:00,279.06,284.79,A,65
2023-06-03 17:00:00,279.11,284.87,A,65
2023-06-03 17:30:00,279.08,284.77,A,65
2023-06-03 18:00:00,274.44,280.27,A,65
2023-06-03 18:30:00,276.63,282.37,A,65
2023-06-03 19:00:00,278.96,284.62,A,65
2023-06-03 19:30:00,279.15,284.96,A,65
2023-06-03 20:00:00,279.08,284.81,A,65
2023-06-03 20:30:00,279.01,284.72,A,65
2023-06-03 21:00:00,279.15,284.96,A,65
2023-06-03 21:30:00,279.08,284.78,A,65
2023-06-03 22:00:00,279.1,284.91,A,65
2023-06-03 22:30:00,276.86,282.6,A,65
2023-06-03 23:00:00,277.79,283.57,A,65
2023-06-03 23:30:00,283.71,289.57,A,65
2023-06-04 00:00:00,279.12,284.92,A,65
2023-06-04 00:30:00,272.37,278.02,A,65
2023-06-04 01:00:00,277.62,283.35,A,65
2023-06-04 01:30:00,280.07,284.54,A,65
2023-06-04 02:00:00,277.82,278.99,A,65
2023-06-04 02:30:00,280.13,285.94,A,65
2023-06-04 03:00:00,283.0,288.9,A,65
2023-06-04 03:30:00,271.7,277.33,A,65
2023-06-04 04:00:00,278.24,284.13,A,65
2023-06-04 04:30:00,277.76,283.56,A,65
2023-06-04 05:00:00,279.12,284.97,A,65
2023-06-04 05:30:00,279.44,285.1,A,65
2023-06-04 06:00:00,272.35,278.21,A,65
2023-06-04 06:30:00,275.73,281.42,A,65
2023-06-04 07:00:00,279.11,284.85,A,65
2023-06-04 07:30:00,279.13,284.92,A,65
2023-06-04 08:00:00,284.66,290.98,A,65
2023-06-04 08:30:00,279.69,285.61,A,65
2023-06-04 09:00:00,274.31,279.91,A,65
2023-06-04 09:30:00,274.52,280.24,A,65
2023-06-04 10:00:00,279.02,284.7,A,65
2023-06-04 10:30:00,280.05,285.89,A,65
2023-06-04 11:00:00,280.26,286.12,A,65
2023-06-04 11:30:00,279.01,284.7,A,65
2023-06-04 12:00:00,279.14,284.88,A,65
2023-06-04 12:30:00,272.13,277.92,A,65
2023-06-04 13:00:00,278.93,284.63,A,65
2023-06-04 13:30:00,276.08,281.87,A,65
2023-06-04 14:00:00,279.94,285.54,A,65
2023-06-04 14:30:00,280.8,286.53,A,65
2023-06-04 15:00:00,278.97,284.71,A,65
2023-06-04 15:30:00,279.12,284.83,A,65
2023-06-04 16:00:00,279.06,284.84,A,65
2023-06-04 16:30:00,278.64,284.28,A,65
2023-06-04 17:00:00,279.1,284.88,A,65
2023-06-04 17:30:00,277.25,283.0,A,65
2023-06-04 18:00:00,277.52,283.39,A,65
2023-06-04 18:30:00,279.89,285.63,A,65
2023-06-04 19:00:00,276.63,282.48,A,65
2023-06-04 19:30:00,278.16,283.91,A,65
2023-06-04 20:00:00,276.59,282.4,A,65
2023-06-04 20:30:00,277.96,283.64,A,65
2023-06-04 21:00:00,275.67,281.45,A,65
2023-06-04 21:30:00,276.45,282.19,A,65
2023-06-04 22:00:00,278.02,283.7,A,65
2023-06-04 22:30:00,278.64,284.44,A,65
2023-06-04 23:00:00,276.11,281.87,A,65
2023-06-04 23:30:00,279.02,284.72,A,65
2023-06-05 00:00:00,278.55,284.36,A,65
2023-06-05 00:30:00,276.06,281.76,A,65
2023-06-05 01:00:00,279.13,284.88,A,65
2023-06-05 01:30:00,283.69,289.57,A,65
2023-06-05 02:00:00,284.5,290.32,A,65
2023-06-05 02:30:00,276.76,282.55,A,65
2023-06-05 03:00:00,283.06,288.93,A,65
2023-06-05 03:30:00,283.65,289.43,A,65
2023-06-05 04:00:00,280.64,286.53,A,65
2023-06-05 04:30:00,280.44,286.16,A,65
2023-06-05 05:00:00,277.37,283.2,A,65
2023-06-05 05:30:00,277.31,283.02,A,65
2023-06-05 06:00:00,279.07,284.81,A,65
2023-06-05 06:30:00,279.15,284.95,A,65
2023-06-05 07:00:00,276.58,282.32,A,65
2023-06-05 07:30:00,276.24,282.03,A,65
2023-06-05 08:00:00,277.22,282.91,A,65
2023-06-05 08:30:00,279.25,285.11,A,65
2023-06-05 09:00:00,272.93,259.99,A,65
2023-06-05 09:30:00,271.0,238.13,A,65
2023-06-05 10:00:00,279.26,284.9,A,65
2023-06-05 10:30:00,285.77,291.11,A,65
2023-06-05 11:00:00,282.33,288.7,A,65
2023-06-05 11:30:00,283.39,289.83,A,65
2023-06-05 12:00:00,279.09,284.86,A,65
2023-06-05 12:30:00,279.13,284.89,A,65
2023-06-05 13:00:00,279.0,284.69,A,65
2023-06-05 13:30:00,279.16,284.97,A,65
2023-06-05 14:00:00,275.59,281.3,A,65
2023-06-05 14:30:00,279.0,284.78,A,65
2023-06-05 15:00:00,279.04,284.8,A,65
2023-06-05 15:30:00,278.94,284.64,A,65
2023-06-05 16:00:00,275.75,281.59,A,65
2023-06-05 16:30:00,279.0,284.69,A,65
2023-06-05 17:00:00,279.16,284.98,A,65
2023-06-05 17:30:00,279.04,284.76,A,65
2023-06-05 18:00:00,279.11,284.9,A,65
2023-06-05 18:30:00,279.08,284.81,A,65
2023-06-05 19:00:00,280.87,286.23,A,65
2023-06-05 19:30:00,276.82,282.59,A,65
2023-06-05 20:00:00,279.26,285.04,A,65
2023-06-05 20:30:00,279.53,285.32,A,65
2023-06-05 21:00:00,278.89,284.62,A,65
2023-06-05 21:30:00,280.24,285.77,A,65
2023-06-05 22:00:00,275.97,281.48,A,65
2023-06-05 22:30:00,278.88,284.53,A,65
2023-06-05 23:00:00,279.15,284.95,A,65
2023-06-05 23:30:00,280.65,286.49,A,65
2023-06-06 00:00:00,278.55,284.27,A,65
2023-06-06 00:30:00,274.51,280.22,A,65
2023-06-06 01:00:00,284.08,289.93,A,65
